Airline Code,Flight Number,Departure Station,Arrival Station,STA,STD,Flight Date,PNR,First Name,Last Name,Birthday,Age
AK,0024,KIX,MNL,16:00,13:00,08/23/2019,P5G6V4,JayR,Cortes,08/23/1997,20
AK,0024,KIX,MNL,16:00,13:00,08/23/2019,XOWLUY,JayP,Cortes,07/28/1999,18
5J,0099,KIX,MNL,15:00,11:00,07/29/2019,Q9FFQD,James,Bond,09/09/1999,18
5J,0099,CEB,MNL,10:00,8:00,08/23/2018,QXKJHP,James,Gosling,08/23/1998,19
5J,0099,CEB,MNL,10:00,8:00,09/22/2020,E93K50,A,Passenger,10/10/1999,18
5J,0099,CEB,MNL,10:00,8:00,09/22/2020,E93K50,B,Passenger,10/10/1999,18
5J,0099,CEB,MNL,10:00,8:00,10/10/2018,DRD565,C,Passenger,10/10/1999,18
5J,0099,CEB,MNL,10:00,8:00,10/10/2018,DRD565,D,Passenger,10/10/1999,18
5J,0099,CEB,MNL,10:00,8:00,10/10/2019,QH7TBA,E,Passenger,10/10/1999,18
5J,0099,CEB,MNL,10:00,8:00,10/10/2019,QH7TBA,F,Passenger,10/10/1999,18
5J,0099,CEB,MNL,10:00,8:00,09/09/2020,Q3HQMO,Q,Passenger,09/09/1999,18
5J,0099,CEB,MNL,10:00,8:00,09/09/2020,Q3HQMO,W,Passenger,09/09/1999,18
5J,0099,MNL,KIX,15:00,11:00,10/10/2020,QLN2YZ,A,Passenger,09/09/1999,18
5J,0099,MNL,KIX,15:00,11:00,10/10/2020,QLN2YZ,B,Passenger,09/09/1999,18
5J,0099,MNL,CEB,7:00,5:00,1/1/2020,D4V4US,J,Passenger,09/09/1999,18
5J,0099,MNL,CEB,7:00,5:00,1/1/2020,D4V4US,R,Passenger,09/09/1999,18
5J,0099,MNL,KIX,15:00,11:00,09/09/2020,NNT8CF,A,Passenger,09/09/1999,18
5J,0099,MNL,KIX,15:00,11:00,09/09/2020,NNT8CF,B,Passenger,1/1/1999,19
5J,0099,CEB,MNL,10:00,8:00,09/09/2020,UPC9L2,JayR,Cortes,1/1/1997,21
